country,variable,value,>=65,Total,proportion_over_65,deaths_per_million
Kenya,Kenya.JHU_ConfirmedDeaths.data,21.0,1202178.0,51393010.0,0.02339185815347262,0.40861587986381803
Kiribati,Kiribati.JHU_ConfirmedDeaths.data,0.0,4579.0,115847.0,0.03952627172045888,0.0
LatinAmerica&Caribbean,LatinAmerica&Caribbean.JHU_ConfirmedDeaths.data,0.0,54091560.0,641357515.0,0.08433916923854864,0.0
Latvia,Latvia.JHU_ConfirmedDeaths.data,16.0,386275.0,1927174.0,0.20043597516363337,8.302312090138201
KoreaSouth,KoreaSouth.JHU_ConfirmedDeaths.data,250.0,7440931.0,51606633.0,0.14418555459721621,4.844338517492509
Kosovo,Kosovo.JHU_ConfirmedDeaths.data,22.0,,1845300.0,,11.92218067522896
LatinAmerica&Caribbean(excludinghighincome),LatinAmerica&Caribbean(excludinghighincome).JHU_ConfirmedDeaths.data,0.0,50193307.0,609013934.0,0.08241733759740216,0.0
LatinAmerica&theCaribbean(IDA&IBRDcountries),LatinAmerica&theCaribbean(IDA&IBRDcountries).JHU_ConfirmedDeaths.data,0.0,51638103.0,625569713.0,0.0825457210074363,0.0
Kuwait,Kuwait.JHU_ConfirmedDeaths.data,30.0,105521.0,4137309.0,0.02550474233372465,7.251090020107273
Kyrgyzstan,Kyrgyzstan.JHU_ConfirmedDeaths.data,8.0,284193.0,6322800.0,0.04494733345985956,1.265262225596255
LaoPDR,LaoPDR.JHU_ConfirmedDeaths.data,0.0,287767.0,7061507.0,0.040751499644480986,0.0
Late-demographicdividend,Late-demographicdividend.JHU_ConfirmedDeaths.data,0.0,245419442.0,2288665963.0,0.1072325302021368,0.0
Lebanon,Lebanon.JHU_ConfirmedDeaths.data,24.0,479587.0,6848925.0,0.07002368984913691,3.5041995641651793
Lowermiddleincome,Lowermiddleincome.JHU_ConfirmedDeaths.data,0.0,167148984.0,3022905169.0,0.05529415401915971,0.0
Liberia,Liberia.JHU_ConfirmedDeaths.data,18.0,156782.0,4818977.0,0.032534290991635774,3.735232602272225
